time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,Q,T (C),S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_co2,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2
0,0.0021055300835874998,0.043495064580387204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007905548172248355,0.0018920294250312916,0.031028991296777386,0.0,4.136009732856182,16.109104543420745,8.957467438434222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.353512302099883,0.0,0.005266580426298791,177.86521808664835,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.009181788243498459,0.04242472821734367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007911459332471718,0.0017933958107436353,0.027126514422569564,0.0,4.850425494974815,15.496597071531324,10.606188597864834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.80982991544054,0.0,0.0053586603316874695,166.74802023837137,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.007217978893301198,0.04114964437186223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007906956720603282,0.0020076943292044896,0.030086874366294314,0.0,4.476031742070059,16.864807341206685,9.743316797606484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.539514444536014,0.0,0.005140251870842552,172.64863024779496,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0017099763558549896,0.04812176433902366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007932648599700729,0.0020690075982828645,0.029323363497025415,0.0,4.555337044484939,15.94683276993448,9.945314913969785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.412470728429323,0.0,0.005111244380862927,173.15103200975193,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0026093840523607604,0.046280115359781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007894424333420125,0.0019352262563220625,0.03109306992689041,0.0,4.51490238300117,16.504060996795577,9.814391506921872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.892337948679124,0.0,0.005207391061250115,179.31428482774007,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.004422661484195771,0.04026627589964158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007812468872040468,0.002023204890333604,0.028860512680406774,0.0,4.558332505202288,16.794673621849423,9.849274655185363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.89295270693817,0.0,0.005056812752235844,141.9366580139732,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0005357821232403958,0.03289703492425668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007867644917012343,0.0018948492811035626,0.028319729763284313,0.0,3.6282792453704267,15.658861598150125,7.763474987336416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.82440924993665,0.0,0.005246075701082031,157.2398247403976,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0034416897786380316,0.03942650635418233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007929378252378855,0.0020162186192114896,0.03203510402521277,0.0,4.07480437119563,17.43768710417988,8.799646394653776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.973510860877298,0.0,0.005173297043786125,166.27518155818595,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0007192029438058021,0.04313958136143609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00794398815326072,0.0018343670559103438,0.02811755556419128,0.0,3.9375370574709163,15.91631971608607,8.515768939771025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.669078548223375,0.0,0.005361795467780708,199.69459637964644,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0016980570229352709,0.04366547919798457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007995020758490052,0.0020693696164876874,0.027388180026377478,0.0,4.227609760541299,14.905610480564725,9.185537750051061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.614108502990373,0.0,0.005175055467851312,183.29369858712278,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0011731730468284064,0.029771982740721344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008142873574236207,0.001496367390295375,0.02125303356573198,0.0,2.8413730052085264,9.954128999830486,6.137980942715873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.502414419457695,0.0,0.0058449890997292605,307.0680328133198,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.002106930501189927,0.03540891326080905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008154521550654041,0.001759635807155698,0.027159595704293594,0.0,2.8548400261499585,13.867683498362071,6.0555795204128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.792681305337517,0.0,0.005587612944277239,215.19037190086078,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0017560521571243126,0.027764614103444576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00803769674167499,0.0017814372446317292,0.02956432624897901,0.0,3.2518255088602466,14.457261131958118,6.88561872034488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.760854510741446,0.0,0.005472148433729063,171.6922404994373,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
