time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_nh3,S_gas_h2,S_gas_ch4,S_gas_co2,S_co2,S_nh4_ion
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2.234480926757915,2.712842764141634,2.3453897943346886,0.9488634216958495,0.9488634228891987,0.9488634212688105,0.9488634263634919,1.0,4.970237749396293e-18,-118.00823039039294,0.9493667094012571,0.9905957933578676,0.6789280622505921,0.028648788570417732,0.09116317036003725,0.05732942517973299,0.9300746650977343,0.930074665424703,0.9300746643922508,0.9300746643922523,0.9300746643922508,0.9300746643922502,0.9300746643922504,1.967691313295507,0.9488634189379047,0.9491327339954564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9006988335316783,4.433437745271853e-18,0.559243223376244
2,2.452392231842233,3.425239737916209,2.8123357938772444,0.9003417930775212,0.9003417953562403,0.900341792248756,0.9003418019946025,1.0,4.622666205069878e-18,-230.935460816709,0.9012872862311799,0.96928921388674,0.48691521435291135,0.030324092223579787,0.08591747415592114,0.06287645340221193,0.8650388826767613,0.8650388833010824,0.865038881344355,0.8650388813443588,0.865038881344355,0.8650388813443538,0.865038881344354,2.884864064528665,0.9003417877985324,0.9008713542167789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9007045067566065,4.123431095084346e-18,0.5592488745051908
3,2.62725253515095,4.145507796854999,3.203559924059184,0.8543013945106176,0.8543013977549372,0.8543013933185636,0.8543014072100541,1.0,4.2993992515228756e-18,-338.0879986082852,0.8556500508785476,0.9418719790959705,0.36968342178758834,0.02714500236650531,0.09183269338254485,0.05653543127455566,0.8045507491295605,0.8045507500151726,0.8045507472525979,0.8045507472526034,0.8045507472525979,0.8045507472525965,0.8045507472525967,3.7266099484045436,0.8543013869831826,0.8550667280921104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9007102031699432,3.835100509759387e-18,0.5592545487322322
4,2.7847266949217695,4.784438287577764,3.566008767978907,0.8106153443679158,0.8106153484633758,0.8106153428532178,0.8106153604021179,1.0,3.99873736779012e-18,-439.7611463632563,0.8123246683186733,0.9112708761515375,0.2959595174089192,0.026791082848365767,0.08627445113033934,0.05643783124683665,0.7482922685823327,0.7482922696936956,0.7482922662374922,0.7482922662374989,0.7482922662374922,0.7482922662374906,0.7482922662374908,4.50972245832862,0.810615334856259,0.8116029107569199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9007159228355007,3.566930384733604e-18,0.5592602461209323
5,2.9259764306151594,5.405591939677679,3.8965419322488537,0.7691632493211998,0.7691632541608213,0.769163247524933,0.7691632682708681,1.0,3.7190998705535335e-18,-536.235101835369,0.7711849553002446,0.8794144955975054,0.24771244706918394,0.026079969672087557,0.088683208523185,0.05500432683716821,0.6959676811308403,0.695967682433923,0.6959676783881505,0.6959676783881588,0.6959676783881505,0.6959676783881487,0.6959676783881489,5.271507547093821,0.7691632380752095,0.7703666006386469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9007216656983799,3.3175110848970276e-18,0.5592659666166054
6,3.057605982904695,6.006748741430043,4.205336720867037,0.7298308725501552,0.7298308780350384,0.7298308705108584,0.7298308940274578,1.0,3.459016619250805e-18,-627.775736017529,0.7321322435678932,0.8471246077784234,0.21453448753961363,0.02596311580681474,0.08985640910329978,0.05466996354245065,0.6473019079817087,0.647301909445342,0.6473019049047133,0.6473019049047231,0.6473019049047133,0.6473019049047113,0.6473019049047116,6.0416038389480295,0.7298308598013977,0.731231274963606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9007274316766689,3.0855315488437808e-18,0.5592717101376591
7,3.13199563606147,6.523246337902479,4.403490646660881,0.6925098189156406,0.6925098249543231,0.6925098166682102,0.6925098425621601,1.0,3.2171202598409425e-18,-714.6352963709461,0.695050321895318,0.815082782851251,0.19040739372317084,0.020861859601854618,0.08368333593839881,0.04341323801100335,0.6020391053182449,0.6020391069144692,0.6020391019647188,0.6020391019647293,0.6020391019647188,0.6020391019647168,0.6020391019647171,6.663796553413672,0.6925098048775458,0.6941068738199325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9007332207341402,2.8697723731647776e-18,0.5592774766480064
8,3.218229626455114,7.087616524183095,4.623901539994395,0.657097236236376,0.6570972427448734,0.6570972338120179,0.6570972617232604,1.0,2.992139066335214e-18,-797.0531792407012,0.6598526055318752,0.783841439329107,0.1718411191090223,0.023002978468767022,0.09277649083957196,0.04853708192998321,0.5599413192887323,0.5599413209927372,0.559941315710849,0.5599413157108601,0.559941315710849,0.559941315710847,0.5599413157108474,7.310873022849993,0.6570972211041316,0.6588771664441418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9007390327018778,2.6690994288481358e-18,0.5592832659793894
9,3.2936542873488013,7.560620624814749,4.823182110250399,0.6234955318403251,0.6234955387425674,0.6234955292680848,0.6234955588694754,1.0,2.782890220192197e-18,-875.2565098000398,0.6264285428405306,0.7531858500206752,0.1568024828379025,0.02213453002159457,0.0846815080392694,0.04682785673483531,0.5207872350450569,0.5207872368344139,0.5207872312891224,0.5207872312891336,0.5207872312891224,0.5207872312891204,0.5207872312891207,7.856535462547819,0.6234955157914638,0.62545862436263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9007448674918497,2.4824578694284072e-18,0.5592890780441191
10,3.3779174418830333,7.954161420133601,5.038215326056701,0.5916121036101879,0.5916121108371658,0.5916121009170168,0.5916121319109773,1.0,2.588273637187705e-18,-949.46080943402,0.594709950683444,0.7233890557876894,0.14409847242408777,0.02351796609298691,0.07926895123044704,0.05012625897185641,0.4843710132538435,0.48437101510831837,0.48437100936099853,0.48437100936101,0.48437100936099853,0.4843710093609964,0.48437100936099686,8.370131986601981,0.5916120868063401,0.5937394444998862,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9007507250336929,2.308866626262041e-18,0.5592949127721066
11,3.3875486203662697,8.093342657310323,5.110809038336353,0.5613590847839558,0.561359092272775,0.5613590819940153,0.5613591141098638,1.0,2.4072661123645076e-18,-1019.8705389017803,0.5645694114810702,0.6942255970279116,0.1330212050521104,0.016170640684410736,0.05331815613834343,0.034051379895190095,0.45050120796573256,0.45050120986743963,0.45050120397276555,0.4505012039727773,0.4505012039727655,0.45050120397276333,0.4505012039727638,8.594930134722945,0.5613590673720543,0.5636765314912697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9007566054234093,2.1474131880313034e-18,0.5593007702589798
